@relation random10K
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@data
93.0257,3411.56,61.4274,1.70495,119.931,85.2386,98.4323,123.789,1662.18,17.2122
32.3181,2462.06,69.2488,2.21055,78.5186,78.6893,97.8753,122.152,978.1,13.4641
91.2592,8244.56,12.5409,1.71897,120.607,79.8153,97.208,124.101,996.996,16.9774
46.8912,2778.91,80.5407,3.30482,64.423,81.761,98.4292,120.742,1325.03,16.4607
89.5374,6465.14,62.1091,2.39323,22.906,56.4809,97.5238,122.496,1423.24,15.64
70.3657,5987,24.8509,2.68132,109.859,54.8004,97.767,124.71,1774.74,16.4831
72.3444,3728.38,66.0088,2.03278,25.444,52.8498,97.4231,123.995,1058.72,17.4195
56.3001,2874.04,31.5254,0.730784,91.4505,63.681,97.406,124.678,1655.68,17.9575
56.2888,5458.7,34.2165,2.48836,26.3911,55.157,98.5013,122.381,904.682,17.3525
33.9764,7676.81,89.7319,2.90404,33.2325,49.1346,98.6898,121.827,1624.72,13.6217
37.1402,3603.45,24.1591,1.89019,39.5976,87.0079,98.5062,122.069,1622.1,16.6528
46.7968,3581.26,8.70247,2.39375,104.903,53.8923,98.4545,122.722,1410.21,17.9915
48.8907,7336.13,53.7371,1.334,60.99,78.597,97.4742,121.233,860.804,13.371
54.5157,3302.46,28.604,2.38931,78.6681,68.8102,97.8993,121.563,1686.66,14.6305
94.5017,3012.92,47.2467,3.58778,93.414,59.5801,97.193,122.092,1607.63,17.2403
47.5251,2620,38.6361,3.07565,48.3493,82.119,97.9745,122.63,822.032,16.2884
71.1451,4978.05,68.9791,3.25016,120.76,59.8983,97.646,121.925,1383.07,14.258
75.9732,6036.17,35.266,1.0785,68.3167,49.2094,97.7787,122.818,1245.92,14.1819
48.9238,7570.25,29.7037,2.63223,70.6743,72.786,97.839,124.877,889.271,15.6492
66.6452,7416.46,78.2416,1.40315,75.0365,80.9629,98.0096,124.251,934.164,13.5272
34.1859,8327.39,58.3149,1.88826,118.714,50.6181,97.8471,121.532,1423.12,18.217
65.24,9147.71,55.9198,3.03374,76.2044,50.3733,97.6825,124.785,829.37,15.583
57.9009,6422.99,14.6804,1.33714,104.173,75.9255,98.9231,121.46,1284.8,13.5742
56.5945,6356.75,84.7961,3.61693,121.356,83.3635,97.0636,121.821,910.158,16.9296
46.3624,6908.69,54.3558,3.09857,59.8479,51.7812,98.7069,123.664,842.983,18.297
41.4263,5532.55,44.2135,1.51238,89.2422,57.8103,98.8109,123.077,1315.02,15.3416
79.7829,9159.5,89.1367,2.49343,113.132,86.5235,97.803,124.495,1039.79,16.0701
68.7793,5788.28,16.2741,1.00716,46.5826,70.7377,97.3767,120.633,1049.5,14.3879
30.6548,5301.84,65.559,2.03518,92.5545,62.3803,98.336,122.945,1742.31,14.0982
98.5471,7227.96,12.0177,3.44229,44.1461,89.5897,98.5793,123.264,1644.28,13.1765
41.5157,5186.14,50.2657,1.56933,72.0734,82.1445,98.6131,123.445,1702.53,13.3362
94.4203,9295.1,47.1894,2.4795,55.978,54.7009,98.84,120.125,1541.28,18.1738
44.5604,7764.18,51.4219,1.55794,87.0773,81.7525,97.4624,122.121,1219.93,13.4529
61.7566,6675.53,47.6369,3.56985,113.912,90.8735,98.4653,123.404,1463.38,16.811
81.5763,6669.35,54.2344,1.31673,35.8055,87.7758,97.7157,120.484,1728.96,13.5949
97.1392,3095.75,78.7702,2.12479,63.3702,67.9887,97.4841,123.271,1678.54,16.9718
81.0737,4657.61,27.1764,1.3101,48.3477,53.3074,97.3555,120.107,1601.38,18.0469
75.9627,6305.51,43.2331,1.31098,99.3015,74.4725,97.2153,120.508,1498.48,13.2197
44.0545,7260.86,20.6228,0.761345,30.8441,74.2475,97.9495,121.873,1050.68,15.1196
32.5573,9842.45,66.6927,1.54881,36.5714,90.8689,97.8071,121.807,1795.74,14.2297
44.1808,7218.81,71.8819,2.58219,111.873,69.4234,97.4581,124.818,1388.53,18.5651
30.0197,8314.45,57.6614,1.2216,106.693,79.5772,98.5408,121.422,892.232,13.1265
74.6435,3030.12,5.12505,1.66972,62.1107,56.1427,97.5951,124.076,1346.5,14.7596
31.4144,7992.67,90.1063,2.99001,58.1657,83.272,97.5005,123.028,1565.3,18.0326
67.313,8124.65,61.526,1.05451,121.218,67.2642,98.6717,123.549,1522.31,18.5684
81.1654,4880.62,10.1147,2.89697,92.5314,68.6154,98.8348,124.904,1083.79,15.7833
49.1886,4431.99,24.1674,1.35925,23.5416,73.9358,97.0428,121.588,994.974,17.7201
40.943,7824.13,54.7038,3.05319,110.773,69.6354,97.4444,123.41,1001.56,18.6672
72.7058,9459.98,32.4146,2.70074,90.46,91.4686,97.2709,122.911,1768.77,15.5154
33.2266,3943.15,70.0914,1.4772,67.816,82.7852,98.697,122.42,908.142,13.2609
48.9498,4115.77,74.4355,3.16893,21.4731,75.1784,97.6294,121.355,1099.71,16.0975
45.093,9278.33,45.3877,2.26066,80.5908,52.9972,98.0163,123.561,1495.78,15.8615
39.1971,7935,69.7828,3.26387,16.1054,56.0279,98.2904,124.247,1466.48,17.52
92.5062,9497.53,6.60305,2.69336,101.139,50.9338,97.5643,120.374,1137.76,16.4911
71.3778,6427.01,49.2479,0.819589,24.2428,51.0073,97.3069,122.909,1580.5,18.0953
34.1058,9295.06,58.1984,3.03539,101.849,74.0495,98.9218,122.059,1241.49,16.7644
41.5532,4675.49,55.8128,1.24857,127.875,62.2892,97.4991,121.405,1199.61,16.5238
90.4018,9925.78,17.6606,1.76358,19.4255,57.4279,97.8457,120.92,1596.01,14.2202
32.3267,8837.32,15.3725,2.573,86.9104,86.7973,97.4327,122.97,1093.46,16.9471
45.5008,5668.07,94.3063,3.05808,87.833,91.6119,97.2216,124.455,1072.21,16.0623
63.4739,3080.75,50.1001,2.55662,70.8374,71.3947,98.6663,124.562,1515.72,16.7749
38.1102,7991.66,48.5435,1.39333,57.8085,53.1456,97.2257,122.948,1510.99,15.438
47.3258,9459.43,82.8354,1.41941,96.4669,70.273,97.462,124.146,1197.11,16.0192
53.7736,9002.44,62.4461,3.22221,71.3478,53.628,97.7449,121.637,840.403,13.5289
96.953,3250.1,80.3398,2.02087,59.3858,57.2575,98.1145,122.501,1600.05,14.6093
93.4599,2380.53,23.0587,3.01422,48.1854,88.4407,97.5552,122.592,1548.34,17.0483
31.5085,2703.71,54.5019,2.67952,120.014,49.9447,98.5755,121.506,1171.52,17.9689
57.2498,4623.92,93.5974,1.37917,102.047,64.3587,97.8736,121.628,1672.03,14.4211
71.5615,8228.8,30.5969,3.08317,77.6009,73.1583,98.427,124.138,890.134,15.771
65.1635,2893.48,54.482,0.857072,102.411,69.054,97.1931,122.796,1579.63,15.8084
57.12,3351.31,76.6457,1.81553,60.2742,72.8311,98.4873,124.16,1689.85,16.694
34.8257,5868.73,40.4836,1.76005,47.1338,89.5479,98.8503,124.957,1571.89,13.0916
61.7318,4193.8,16.4253,0.709335,52.5772,87.5328,97.9632,122.116,1257.75,14.5675
92.3848,8761.41,43.7141,2.76183,40.3062,84.3203,97.5032,124.803,1457.56,13.8488
70.342,7811.97,61.2557,3.61173,24.9426,87.7339,98.8297,120.025,1694.52,17.1204
31.4166,4782.64,91.4864,1.14155,55.3055,60.6519,97.0913,124.163,1510.68,16.0204
36.5657,6815.14,36.3722,2.27186,48.3867,72.8864,97.6988,122.704,1326.25,13.0418
77.7579,2820.53,71.012,1.62196,24.192,83.7857,97.4207,124.94,1618.29,13.6293
77.2307,8708.18,45.7441,2.60705,126.399,83.3608,98.8465,120.157,1436.21,16.8034
67.4337,7840.03,26.2219,3.35004,44.4432,71.0985,97.8979,123.017,865.75,18.8512
72.724,7984.05,11.9987,1.73143,22.1965,54.6399,97.3142,121.328,938.895,18.8524
55.9399,8508.95,78.2537,3.16985,66.3219,83.184,98.2539,121.863,1631,14.5789
30.4505,4926.12,94.3834,1.4267,43.9004,58.8727,98.5344,123.49,1650.48,17.9977
77.1277,5686.56,57.286,2.95305,106.119,75.9964,98.8038,124.809,1701.97,13.2449
95.6011,4180.32,81.8993,2.95327,26.732,61.3646,98.1014,123.614,1476.27,15.2903
99.0132,7461.63,72.274,3.63715,119.593,91.8504,97.4523,123.461,1494.66,13.4598
66.7561,4943.27,53.3709,1.01813,29.3197,63.0517,98.4846,120.104,1103.84,16.8658
34.3167,3927.95,87.5149,3.44831,127.113,48.5568,97.4397,122.714,1535.41,18.3767
94.7172,7770.52,57.0935,2.71606,94.4411,70.1652,98.3372,124.633,995.892,15.1797
30.2211,7767.83,70.8067,2.32184,108.626,85.4049,98.7654,122.847,1670.96,14.1192
44.9545,9461.01,43.4774,1.0914,111.058,66.4628,97.2862,120.343,1762.42,18.2712
97.5281,9095.6,58.9865,2.33051,78.6046,61.2095,97.0945,121.138,1026.74,14.4589
71.3606,3839.2,91.7715,1.66615,102.297,82.8105,97.3443,123.266,1160.49,13.2587
88.782,6593.02,92.8174,1.50181,94.9147,84.2771,98.3738,124.239,1693.05,16.8958
80.8377,8861.92,53.2621,1.67831,60.9393,52.1895,98.2526,122.243,1122.81,18.1184
78.4156,9309.37,12.4665,2.66734,42.401,85.5529,97.8939,122.039,1306.68,17.8445
61.5706,4771.41,39.3391,1.98027,84.7339,51.7902,97.5025,121.503,1733.86,13.8657
96.4909,7280.9,5.18276,2.15835,126.456,65.7441,98.1627,123.063,1651.78,18.4248
62.5918,6347.41,78.6028,2.34568,38.3109,50.3554,97.8041,123.231,1261.42,18.4523
61.7485,9299.41,27.963,3.20529,53.9885,86.229,98.8425,122.952,969.414,18.1306
81.4297,2954.28,51.369,2.91022,83.8049,70.0628,97.28,120.934,913.964,18.9507
36.361,6636.49,53.1695,3.42604,30.3495,80.3145,98.9244,122.651,1180.55,15.5418
60.721,8672.83,35.245,2.78205,90.9504,77.7105,98.1257,122.952,1065.66,17.3936
61.1876,2002.96,81.6399,3.58224,98.5564,68.1061,97.9244,124.386,1443.69,16.4568
90.8241,7876.49,19.013,1.9124,88.043,60.4881,97.2771,123.027,1613.97,16.1146
32.0358,4022.77,36.7889,1.79542,122.049,48.9861,97.0808,122.549,1412.85,14.8362
46.9392,2467.08,32.5766,0.980627,18.1429,49.9147,98.101,122.407,1720.64,14.1651
34.0213,8316.47,88.5873,1.33944,37.6934,73.1675,97.9939,121.661,977.443,14.8657
89.5947,3652.21,55.7411,1.31369,80.0266,70.4687,97.4539,123.06,820.371,18.0389
94.2656,4098.87,85.8386,1.37346,55.8609,88.363,97.536,124.532,1198.65,14.1319
37.0411,5648.77,93.0384,0.788005,90.9554,55.5634,98.2026,120.831,1304.14,17.6726
63.401,4843.95,93.6765,0.822845,78.7264,72.5062,98.1032,123.935,969.004,16.4318
73.8796,2696.67,80.0898,2.27518,50.8959,56.3702,97.8848,122.898,896.632,18.0463
83.7754,3577.75,31.743,2.93927,41.374,90.5211,98.8366,124.139,932.603,15.5348
72.4652,6878.09,75.0161,2.47582,88.8795,62.8726,97.2978,121.012,925.043,14.9074
84.1998,8015.16,41.4489,2.52584,47.0189,79.5286,98.5977,123.597,1096.13,18.3729
69.2282,2514.82,13.3427,3.27264,106.807,62.047,98.6479,123.645,947.129,18.7392
40.6092,8030.2,55.9671,3.48855,54.7201,57.5485,97.5351,122.473,1219.32,15.3554
86.8763,3548.83,18.002,1.35252,105.848,66.5425,98.8681,123.005,940.775,14.3812
64.758,7609.42,31.5095,2.46772,78.5772,52.6344,98.817,121.913,1634.42,13.3337
53.7441,9887.88,77.8455,3.41651,118.536,54.8248,97.245,120.915,1449.72,16.251
70.2921,5697.95,71.1895,2.86021,92.1321,71.6569,97.283,123.069,938.721,14.6936
89.081,7082.1,93.5099,1.11569,41.1442,71.8554,97.4878,120.665,1724.83,13.4699
43.2028,4112.25,10.7871,3.69401,34.9879,91.1113,97.3062,121.46,962.831,17.817
88.3718,7907.46,28.8574,2.40796,67.3522,89.5727,97.214,123,1358.65,14.4742
91.7581,5221.31,84.2866,3.2971,76.6176,52.6404,97.8157,123.926,1038.46,14.9962
90.4406,5416.53,58.7058,3.48322,63.608,81.7157,98.8151,122.891,858.314,13.4222
56.6717,9137.57,77.7925,2.63832,67.69,59.7615,98.1819,122.842,1667.3,13.8975
86.9936,7996.46,54.7029,2.78547,84.9089,52.1133,98.6012,120.116,1678.6,13.2345
54.9079,7936.33,46.9528,3.55768,91.0154,87.2134,98.4376,122.887,1269.4,17.6628
75.3386,8803.38,65.2401,2.0695,71.6113,53.7575,98.4476,120.437,1499.35,16.5466
46.5942,6108.33,35.6596,3.06794,39.3741,90.0605,98.7656,120.047,1779.05,17.5684
33.3875,4679.01,50.3099,2.2436,48.1927,55.6218,97.8115,120.031,1550.55,18.2509
84.8379,5185.91,70.3012,2.0582,111.731,57.7723,98.1672,122.893,1109.57,14.6976
41.8754,6373.03,76.6826,2.23093,53.6256,48.2275,97.9325,121.094,814.487,15.6717
98.6099,2503.04,75.2139,2.15075,80.6704,50.9739,98.3136,124.916,873.849,15.4441
90.0816,8857.98,77.5033,2.45163,50.7177,77.0545,98.612,124.468,1038.87,13.6933
42.3547,5268.18,64.5956,3.6189,118.909,91.9171,98.9563,121.925,1016.86,18.9558
88.124,3575.98,9.99556,2.53149,92.2251,75.8485,98.3562,121.687,1416.08,17.5116
82.132,5795.13,59.8265,2.35101,22.5261,88.4432,97.4213,124.321,1612.73,15.6972
98.5854,9913.78,82.2257,2.62589,123.765,82.1834,98.2802,124.702,961.96,18.1416
95.3069,9938.42,9.85399,3.66539,83.5137,80.3186,98.2428,121.404,871.904,14.4248
32.2977,8533.17,69.0671,2.62602,57.102,81.8856,98.1223,122.888,1434.37,15.2434
31.9031,6913.3,37.6809,3.35575,44.6862,62.3137,98.3243,124.481,1065.64,17.9446
82.7201,3588.78,78.4769,3.12123,36.9506,66.4452,98.0832,124.042,1500.1,16.681
33.2135,7863.38,43.7127,2.97329,57.9922,83.0734,98.0558,124.681,1174.77,13.9736
51.7,5215.66,74.8782,2.71936,48.1673,49.4323,98.9969,124.747,1728.76,14.5844
84.1423,7455.22,46.6404,2.46961,70.7657,76.5881,97.0182,120.153,1258.17,17.2551
75.0846,6032.63,44.7891,0.922623,45.3263,83.9494,98.7427,123.949,1553.13,14.4766
96.6396,2505.07,63.3254,2.88526,98.4605,89.1518,98.5219,123.673,1684.62,17.1384
99.9133,7264.67,38.4469,2.0843,43.7709,85.8669,97.2223,121.285,1691.18,16.416
97.635,6281.98,11.607,1.92495,84.259,62.7512,97.4507,122.404,924.986,18.8709
80.8822,2615.84,8.74516,1.82484,106.205,82.2262,97.6204,122.832,1312.55,14.169
47.9269,6090.53,81.763,2.58319,124.948,52.4386,97.9767,120.42,1157.91,15.2771
75.7271,4593.01,87.3294,2.87997,98.0334,71.066,97.1238,124.789,805.013,14.1214
95.5387,7855.21,28.7488,3.63364,27.9671,51.0481,98.5115,122.085,1435.64,14.6098
72.8333,9133.95,75.1656,2.09448,74.1811,81.1041,98.1314,120.039,1636.28,18.5417
57.1138,5916.18,27.2966,1.60633,40.2119,91.1279,98.6527,121.39,1737.97,17.9881
62.5488,8993.88,55.6927,2.88658,111.437,77.4845,98.5963,123.039,887.167,15.6027
91.3314,7592.57,34.2971,2.66734,34.3565,85.1799,97.8163,123.648,1652.81,14.4666
75.7249,3921.22,71.0553,3.40286,76.7335,89.8055,98.7623,121.843,1028.21,17.9146
43.9967,7545.57,67.4002,2.98962,63.2702,71.9998,97.8666,121.101,953.311,16.1229
75.7779,2235.79,24.7592,3.63848,92.7486,64.8715,98.649,120.467,913.043,17.0638
53.648,8130.05,87.5711,0.915327,90.7274,68.2277,97.0438,122.742,1628.32,14.5007
55.7211,2226.2,89.8979,0.88234,104.646,64.0761,98.2125,121.124,1385.56,17.5572
82.1685,3916.21,76.0113,3.59443,40.5302,68.8679,97.6965,120.218,1367.67,15.7678
80.457,9244.01,25.4797,2.61481,125.455,87.3695,97.196,124.996,1243.1,18.5579
47.4504,8484.39,90.913,1.27781,113.589,80.8271,98.1159,122.388,1770.86,13.8611
46.597,7728.98,39.4745,0.778342,92.2645,74.4911,98.0008,120.146,1445.58,13.4083
64.3338,4931.15,92.6202,2.8541,16.5224,89.8367,98.2256,120.513,1750.01,13.3354
32.0279,3594.44,82.9804,3.65068,59.8936,80.4622,98.4593,124.749,1015.34,17.2029
36.538,5619.49,42.495,2.12935,69.5976,52.2919,97.157,124.895,926.73,17.3446
33.2894,6937.7,13.1444,0.761646,53.5478,52.187,98.9428,124.74,997.814,18.5284
30.2761,3814.27,15.8631,3.31118,39.5584,70.5548,98.2163,124.7,1262.48,17.9411
74.8322,6447.07,29.835,0.87121,19.6213,81.1978,97.3092,120.554,1533.43,14.6881
88.4467,8243.36,85.8701,3.47634,105.708,58.2874,97.0412,123.862,981.849,14.3105
78.5624,3486.35,45.0682,3.14335,22.2931,76.844,97.6541,123.322,1395.52,17.7373
64.1509,3887.81,36.0883,2.99144,48.8213,64.6214,98.0366,122.238,1288.61,14.5104
81.0303,4588.52,7.89419,2.58269,43.8893,84.6575,98.7227,121.348,1405.48,13.2593
64.1624,4393.81,25.6109,3.49971,28.7317,60.5487,98.1776,122.204,1749.56,14.1058
46.1194,5499.43,42.8249,2.42711,38.5392,79.3863,98.9069,123.598,960.985,15.6524
97.9903,9119.92,73.9075,0.710342,73.9658,48.6446,98.6731,121.895,1084.27,15.6523
59.5494,8178.41,71.715,2.65343,95.0203,85.618,98.8727,121.472,1095.69,18.3154
63.5035,6207.73,34.0997,3.3967,27.3869,71.0812,98.2244,120.276,1044.12,17.6392
64.8043,3723.31,64.6878,1.48853,40.5125,55.953,97.555,120.277,1359.67,16.3706
64.8241,9854.42,35.0656,1.41629,86.8901,49.7424,97.1874,122.846,1133.92,15.3364
61.8635,8500.35,87.3836,3.03557,95.6815,48.7498,97.6062,121.618,872.172,16.2833
36.7811,6555.01,73.637,2.98021,109.209,91.1858,98.8816,120.549,836.931,16.0029
77.0033,6275.34,48.4061,0.716612,102.596,53.0705,97.0903,124.335,1484.53,15.2744
47.9416,3117.77,22.2443,1.21504,118.843,87.734,97.3774,121.107,1026.71,14.5654
83.7991,4588.67,79.7243,2.29358,25.3692,77.1496,98.0254,120.122,1572.2,16.2977
66.7472,5549.43,12.5633,0.721751,66.3122,85.7176,97.245,122.472,1524.12,17.8421
91.139,9843.42,90.2065,0.895055,33.0361,86.0592,98.9361,121.704,886.321,14.1687
72.1207,8839.03,51.6523,1.99599,59.2399,74.4886,97.189,124.494,1426.49,18.2001
61.3864,3211.56,32.9331,2.29724,33.7739,81.4217,97.7793,121.406,1053.94,13.6825
36.1741,3018.82,13.476,0.804822,37.5456,58.8366,98.7998,120.802,1387.12,18.9175
54.8648,3510.74,80.701,3.32071,85.5338,57.9965,97.9512,123.577,925.952,13.6124
70.7408,6594.63,27.8162,3.37714,27.9551,66.1372,98.3039,122.482,1493.39,18.4354
72.7087,8252.76,7.99291,2.81291,107.452,57.9275,98.9012,123.582,1186.06,16.2262
79.1892,7930.18,70.3895,2.33147,84.8623,63.2851,98.542,120.452,862.71,18.3818
43.4745,7157.77,47.4169,2.03802,76.1553,73.4338,98.7164,120.945,874.415,16.3096
36.6476,7476.32,34.9883,1.08466,59.5505,54.5885,97.7077,121.697,1666.2,17.4394
91.3999,6551.2,48.3061,2.51107,28.6252,52.2249,98.9022,124.419,986.445,13.0827
84.6499,5031.5,64.2659,1.45604,108.394,56.6069,98.6601,123.416,1184.67,18.4268
46.4336,5837.12,58.0107,2.40391,84.0803,91.0255,98.4354,124.809,1117.28,16.5034
79.1129,3555.4,18.7527,1.24838,105.389,59.6834,97.5576,123.746,949.276,15.7915
83.4089,9439.91,80.9775,1.96448,36.384,77.442,98.2342,120.06,1152.29,13.0107
94.1565,6696.48,48.3278,2.21659,33.3633,51.9283,97.9668,124.364,850.986,17.804
61.9651,8020.79,94.5582,2.52836,120.764,82.9011,98.75,121.071,1342.4,13.1456
77.5622,4443.1,90.8824,2.27097,97.4107,53.995,97.3856,121.72,948.303,16.2705
54.2036,2518.59,16.8933,3.18156,79.8796,60.6358,98.8329,120.269,959.914,18.8047
89.808,6932.47,69.8046,3.24847,41.3133,76.8394,98.2854,120.505,1669.65,14.1106
38.768,6392.85,49.144,0.938521,24.1492,57.5643,97.4315,121.328,1361.36,15.1844
86.7449,9256.98,43.5995,3.52837,98.2426,91.9664,97.4599,123.254,852.97,15.3393
73.2759,9258.95,5.57952,1.71484,100.768,58.2278,98.9874,121.998,1133.45,18.1802
70.9262,5669.64,42.1224,0.925444,76.2798,69.3502,97.585,123.77,1550.79,18.1232
38.2619,6491.42,73.4898,2.34073,72.4721,69.7935,98.0923,123.671,946.082,16.5947
38.6843,8114.48,50.5837,1.0915,27.4899,59.5872,97.7259,120.482,1462.9,17.1784
97.1772,3980.51,18.9594,1.81644,52.1437,78.5059,98.7148,123.076,1247.29,16.649
62.8373,6522.5,20.2631,1.39031,28.569,77.6475,98.4508,123.292,1207.99,18.229
48.0241,6256.38,62.2222,2.99192,90.2053,80.4892,97.0546,120.127,1634.7,17.1413
80.5328,8354.99,89.4007,3.331,34.6502,59.4619,98.1406,120.119,1675.73,13.1056
74.2443,4758.65,57.4624,3.10496,80.3926,78.5861,97.9509,121.502,1153.51,18.3007
42.0285,6887.96,42.3943,3.12292,57.9964,51.4338,98.0921,122.011,903.539,15.2844
36.4756,8603.49,20.7592,0.790882,94.6729,63.0314,97.5816,121.364,1165.52,13.9991
50.3249,9980.65,51.0214,3.31981,105.514,51.7965,98.1368,121.373,1186.63,18.5315
41.0695,6467.71,52.9622,2.42089,57.0034,87.9468,98.3033,124.561,1110.17,17.5312
50.5002,5221.41,57.2579,2.10389,64.4926,60.4555,98.6192,123.619,1355.83,14.0506
92.3195,8769.52,20.5418,1.90488,96.5796,90.7644,97.9758,121.439,1046.61,18.2472
44.6853,5237.97,43.9702,2.92811,125.578,83.1606,98.3012,123.15,1511.23,18.7645
56.9676,2032.76,37.7086,3.59768,68.8704,83.0415,97.4979,121.408,1320.16,17.8288
61.9723,5283.5,63.5897,2.5883,106.951,64.3002,98.2027,121.5,1458.33,18.0878
42.2161,8944.95,27.7438,2.52255,84.412,58.1677,97.8132,121.307,1661.13,13.7071
45.5511,3971.02,15.9755,2.45676,39.7744,74.1363,97.764,122.306,1675.65,18.4129
48.6237,4659.16,33.1324,3.45115,123.725,53.4845,97.575,122.816,1224.63,18.675
58.78,6793.12,78.256,2.69156,39.1457,66.6902,98.7899,123.066,1486.18,17.5364
81.1794,9266.73,5.21949,3.25925,71.3201,57.4473,97.8942,124.38,1475.96,14.9364
84.4642,9536.07,63.962,0.971926,112.215,75.1463,97.4306,120.733,980.143,16.8395
36.4683,6730.29,26.515,3.41908,44.5755,67.6114,97.6623,120.75,858.992,13.1039
93.4294,8321,88.3095,3.42572,88.0394,66.462,97.2466,120.451,1095.5,17.7954
58.9126,2588.51,71.7124,0.904514,34.391,74.4136,98.3703,121.897,1546.88,18.1917
31.3588,8714.24,46.0907,1.4754,99.5117,79.3149,98.4084,120.384,1661.77,17.579
36.5867,8143.27,54.7969,0.759268,91.766,56.6463,97.8787,123.999,1086.81,17.4091
71.9304,7598.75,77.7573,1.72076,102.018,90.7953,98.8811,122.266,1152.12,17.1246
52.2898,4972.22,52.4047,3.02497,86.5594,59.9838,97.9734,121.671,1149.14,15.0908
36.8144,5545.84,15.4736,2.65194,67.8545,82.8856,98.6943,124.512,1392.62,13.8038
74.6028,3533.01,80.0425,2.03679,75.5707,74.4801,97.8364,122.362,854.97,17.622
41.1918,4987.16,17.7675,2.7598,32.619,81.9617,98.9179,123.175,906.032,14.8486
98.8477,3627.04,72.6193,0.999733,111.651,57.4297,98.7855,123.506,916.645,15.9123
88.4601,8030.62,65.9312,2.70685,38.3356,57.1913,97.5415,123.088,1481.34,14.9544
57.1583,8729.76,67.9222,2.28951,75.1161,85.2909,97.6034,122.434,1282.59,15.4463
85.6415,5729.05,59.9995,2.33861,79.3968,68.4659,98.521,122.294,966.316,18.263
96.0937,2011.68,61.789,2.56363,91.0858,84.5382,98.6602,124.706,1248.06,16.0686
48.6844,8688.27,36.7396,3.59817,56.9775,86.7413,98.6271,123.338,1167.27,14.777
35.2702,3297.15,73.607,2.75918,95.335,62.4471,97.3031,122.344,1587.15,14.9071
54.2218,7850.78,33.7372,3.63105,55.4863,91.5473,98.6149,120.913,1730.89,14.5329
78.5871,3582.49,13.2369,0.840288,34.353,68.1252,98.8545,124.887,924.955,14.7671
